latitude,longitude,city,state,country,solar_capacity,wind_capacity,hydro_capacity,fast_charging,availability_of_specific_connectors,population_density,income_level,existing_charging_stations,pollution_level,transportation_hub,land_use_commercial,land_use_residential,zoning_regulations_commercial,zoning_regulations_residential,grid_capacity,electricity_rates,cost_of_land
12.9716,77.5946,Bengaluru,Karnataka,India,2500,1200,3500,1,0,15000,medium,60,moderate,1,0,1,0,4000,0.14,1200000
12.9539,77.3507,Koramangala,Karnataka,India,500,200,800,1,0,18000,high,15,moderate,1,0,1,0,1500,0.15,900000
12.9719,77.6412,Indiranagar,Karnataka,India,300,100,500,0,1,20000,high,10,moderate,1,0,1,0,1000,0.13,800000
12.9202,77.5603,Whitefield,Karnataka,India,400,150,600,1,0,12000,medium,20,low,1,0,1,0,2000,0.12,1000000
12.9116,77.5920,Jayanagar,Karnataka,India,200,50,300,0,1,10000,medium,5,low,1,0,1,0,800,0.16,700000
16.5062,80.6480,Vijayawada,Andhra Pradesh,India,1200,800,1000,1,0,15000,medium,40,moderate,1,0,1,0,3000,0.12,900000
16.5206,80.6194,Labbipet,Andhra Pradesh,India,200,100,300,0,1,18000,high,10,low,1,0,1,0,800,0.13,750000
16.5074,80.6476,MG Road,Andhra Pradesh,India,150,50,200,1,0,12000,medium,6,low,1,0,1,0,500,0.12,600000
16.5132,80.6500,Ajith Singh Nagar,Andhra Pradesh,India,250,150,350,0,1,10000,medium,8,low,1,0,1,0,700,0.14,650000
16.5232,80.6277,Patamata,Andhra Pradesh,India,300,200,400,1,0,16000,medium,12,moderate,1,0,1,0,1000,0.13,800000
13.0827,80.2707,Chennai,Tamil Nadu,India,2000,1000,1500,1,0,18000,medium,50,moderate,1,0,1,0,3500,0.13,1100000
13.0172,80.2260,T. Nagar,Tamil Nadu,India,250,100,300,0,1,9000,medium,8,low,1,0,1,0,1200,0.12,800000
19.0760,72.8777,Mumbai,Maharashtra,India,3000,800,2000,1,0,20000,high,30,high,1,0,1,0,5000,0.14,1500000
18.9260,72.8246,Nariman Point,Maharashtra,India,400,100,800,0,1,15000,medium,10,high,1,0,1,0,2000,0.15,1200000
19.0759,72.8777,Bandra,Maharashtra,India,500,200,1000,1,0,18000,medium,15,moderate,1,0,1,0,2500,0.13,1000000
13.0827,80.2707,Kilpauk,Tamil Nadu,India,400,150,600,1,0,12000,medium,20,low,1,0,1,0,1500,0.12,900000
18.5204,73.8567,Pune,Maharashtra,India,1000,400,800,1,0,16000,medium,25,moderate,1,0,1,0,3000,0.14,1000000
26.9124,75.7873,Jaipur,Rajasthan,India,800,300,600,1,0,12000,medium,20,moderate,1,0,1,0,2000,0.13,800000
